"ID","Run","anxious","peppy","peeved","happy","tired","relaxed","sad","calm","exhausted","irritated"
"sub-CK07NK21","1",2,4,1,4,4,4,2,4,4,1
"sub-CK07NK21","4",1,1,1,2,5,4,1,4,5,1
"sub-CK07NK21","5",1,2,1,3,5,4,2,4,5,1
"sub-CK07NK21","6",4,3,1,1,4,3,3,3,5,1
"sub-CK07NK21","9",3,2,1,2,4,3,1,2,5,2
"sub-CZ05ND22","1",1,3,1,5,1,6,1,6,3,1
"sub-CZ05ND22","4",1,2,1,5,2,6,1,6,2,1
"sub-CZ05ND22","5",1,4,1,5,2,5,1,6,2,1
"sub-CZ05ND22","6",1,4,1,5,3,6,1,6,3,1
"sub-CZ05ND22","9",1,3,1,6,3,6,1,6,3,1
"sub-DA06AN05","1",2,3,2,3,4,4,2,5,5,1
"sub-DA06AN05","4",2,2,2,2,5,2,2,2,5,2
"sub-DA06AN05","5",2,2,2,2,4,2,3,3,4,2
"sub-DA06AN05","6",2,2,2,3,4,2,2,2,4,2
"sub-DA06AN05","9",2,2,2,3,4,2,2,2,5,2
